"binomial_name","Family","Genus","Species","restoration","count","mean_DBH","mean_Height","relative_abundance_percent"
"Chisocheton sarawakensis","MELIACEAE","Chisocheton","sarawakensis","NR",13,213.615384615385,16.2538461538462,0.729108244531688
"Chisocheton unknown mixed","MELIACEAE","Chisocheton","unknown mixed","NR",4,182,15.475,0.224340998317443
"Cinnamomum unknown mixed","LAURACEAE","Cinnamomum","unknown mixed","NR",1,193,16.7,0.0560852495793606
"Clausena excavata","RUTACEAE","Clausena","excavata","NR",1,156,4.5,0.0560852495793606
"Cleistanthus hirsutulus","PHYLLANTHACEAE","Cleistanthus","hirsutulus","NR",4,123.5,10.95,0.224340998317443
"Cleistanthus myrianthus","PHYLLANTHACEAE","Cleistanthus","myrianthus","NR",2,183.5,20.85,0.112170499158721
"Cleistanthus unknown mixed","PHYLLANTHACEAE","Cleistanthus","unknown mixed","NR",1,105,4.4,0.0560852495793606
"Cratoxylum unknown mixed","HYPERICACEAE","Cratoxylum","unknown mixed","NR",2,153.5,21.25,0.112170499158721
"Croton argyratus","EUPHORBIACEAE","Croton","argyratus","NR",5,167,10.5,0.280426247896803
"Crudia unknown mixed","FABACEAE","Crudia","unknown mixed","NR",1,138,10.3,0.0560852495793606
"Cryptocarya erectinervia","LAURACEAE","Cryptocarya","erectinervia","NR",1,214,18.7,0.0560852495793606
"Cryptocarya pulchrinervia","LAURACEAE","Cryptocarya","pulchrinervia","NR",2,248,18.2,0.112170499158721
"Cynometra mirabilis","FABACEAE","Cynometra","mirabilis","NR",2,290.5,27.7,0.112170499158721
"Dacryodes rugosa","BURSERACEAE","Dacryodes","rugosa","NR",1,178,9.5,0.0560852495793606
"Dacryodes unknown mixed","BURSERACEAE","Dacryodes","unknown mixed","NR",1,265,20.9,0.0560852495793606
"Dehaasia caesia","LAURACEAE","Dehaasia","caesia","NR",5,172.4,13.48,0.280426247896803
"Dehaasia incrassata","LAURACEAE","Dehaasia","incrassata","NR",6,123.333333333333,10.9166666666667,0.336511497476164
"Dehaasia unknown mixed","LAURACEAE","Dehaasia","unknown mixed","NR",2,219,9.95,0.112170499158721
"Dendrocnide elliptica","URTICACEAE","Dendrocnide","elliptica","NR",2,121,7.65,0.112170499158721
"Dendrocnide unknown mixed","URTICACEAE","Dendrocnide","unknown mixed","NR",2,129,8.1,0.112170499158721
"Dillenia excelsa","DILLENIACEAE","Dillenia","excelsa","NR",8,149,11.6125,0.448681996634885
"Dillenia species 1","DILLENIACEAE","Dillenia","species 1","NR",1,120,6.4,0.0560852495793606
"Dimocarpus dentatus","SAPINDACEAE","Dimocarpus","dentatus","NR",5,150,9.6,0.280426247896803
"Dimocarpus longan","SAPINDACEAE","Dimocarpus","longan","NR",8,192.875,15.375,0.448681996634885
"Dimorphocalyx murinus","EUPHORBIACEAE","Dimorphocalyx","murinus","NR",7,118.714285714286,12.3571428571429,0.392596747055524
"Diospyros andamanica","EBENACEAE","Diospyros","andamanica","NR",7,263.428571428571,14.5285714285714,0.392596747055524
"Diospyros cauliflora","EBENACEAE","Diospyros","cauliflora","NR",3,190.333333333333,18.3,0.168255748738082
"Diospyros curranii","EBENACEAE","Diospyros","curranii","NR",2,106,11.15,0.112170499158721
"Diospyros dictyoneura","EBENACEAE","Diospyros","dictyoneura","NR",1,315,24.6,0.0560852495793606
"Diospyros elliptifolia","EBENACEAE","Diospyros","elliptifolia","NR",4,186.5,17.85,0.224340998317443
"Diospyros frutescens","EBENACEAE","Diospyros","frutescens","NR",2,128.5,10.1,0.112170499158721
"Diospyros macrophylla","EBENACEAE","Diospyros","macrophylla","NR",20,224.4,16.365,1.12170499158721
"Diospyros pilosanthera","EBENACEAE","Diospyros","pilosanthera","NR",1,224,19.5,0.0560852495793606
"Diospyros toposia","EBENACEAE","Diospyros","toposia","NR",6,137.666666666667,11.4,0.336511497476164
"Diospyros tuberculata","EBENACEAE","Diospyros","tuberculata","NR",4,152,12.15,0.224340998317443
"Diospyros unknown mixed","EBENACEAE","Diospyros","unknown mixed","NR",4,256.75,17.25,0.224340998317443
"Diplospora malaccensis","RUBIACEAE","Diplospora","malaccensis","NR",1,147,9.7,0.0560852495793606
"Dipterocarpus applanatus","DIPTEROCARPACEAE","Dipterocarpus","applanatus","NR",2,126,8.5,0.112170499158721
"Dipterocarpus caudiferus","DIPTEROCARPACEAE","Dipterocarpus","caudiferus","NR",26,475.5,30.5038461538462,1.45821648906338
"Dipterocarpus unknown mixed","DIPTEROCARPACEAE","Dipterocarpus","unknown mixed","NR",7,288.285714285714,24.3857142857143,0.392596747055524
"Dracontomelon dao","ANACARDIACEAE","Dracontomelon","dao","NR",1,106,19.2,0.0560852495793606
"Drepanthus havilandii","ANNONACEAE","Drepanthus","havilandii","NR",1,168,17.9,0.0560852495793606
"Dryobalanops lanceolata","DIPTEROCARPACEAE","Dryobalanops","lanceolata","NR",28,285,22.4142857142857,1.5703869882221
"Drypetes castilloi","PUTRANJIVACEAE","Drypetes","castilloi","NR",2,114.5,18,0.112170499158721
"Drypetes longifolia","PUTRANJIVACEAE","Drypetes","longifolia","NR",3,175.5,17.7,0.168255748738082
"Drypetes unknown mixed","PUTRANJIVACEAE","Drypetes","unknown mixed","NR",3,128.666666666667,12.5,0.168255748738082
"Duabanga moluccana","SONNERATIACEAE","Duabanga","moluccana","NR",7,571.428571428571,36.4857142857143,0.392596747055524
"Durio graveolens","MALVACEAE","Durio","graveolens","NR",1,775,45.6,0.0560852495793606
"Dysoxylum cyrtobotryum","MELIACEAE","Dysoxylum","cyrtobotryum","NR",5,208.6,15.36,0.280426247896803
"Dysoxylum unknown mixed","MELIACEAE","Dysoxylum","unknown mixed","NR",4,312.75,21.325,0.224340998317443
"Elaeocarpus stipularis","ELAEOCARPACEAE","Elaeocarpus","stipularis","NR",6,287.333333333333,16.6666666666667,0.336511497476164
"Endospermum diadenum","EUPHORBIACEAE","Endospermum","diadenum","NR",1,468,13.3,0.0560852495793606
"Erycibe borneensis","CONVOLVULACEAE","Erycibe","borneensis","NR",1,121,16.7,0.0560852495793606
"Eusideroxylon zwageri","LAURACEAE","Eusideroxylon","zwageri","NR",3,585.666666666667,28.0333333333333,0.168255748738082
"Ficus unknown mixed","MORACEAE","Ficus","unknown mixed","NR",10,193.7,14.17,0.560852495793606
"Ficus variegata","MORACEAE","Ficus","variegata","NR",3,231.666666666667,14.5,0.168255748738082
"Fordia brachybotrys","FABACEAE","Fordia","brachybotrys","NR",5,120.4,11.94,0.280426247896803
"Fordia splendidissima","FABACEAE","Fordia","splendidissima","NR",4,146.75,8.275,0.224340998317443
"Fordia unknown mixed","FABACEAE","Fordia","unknown mixed","NR",1,114,5.9,0.0560852495793606
"Garcinia forbesii","CLUSIACEAE","Garcinia","forbesii","NR",3,176,15.2333333333333,0.168255748738082
"Gironniera nervosa","ULMACEAE","Gironniera","nervosa","NR",11,156.272727272727,13.4,0.616937745372967
"Glochidion elmari","PHYLLANTHACEAE","Glochidion","elmari","NR",29,168.714285714286,17.0714285714286,1.62647223780146
"Glochidion lanceisepalum","PHYLLANTHACEAE","Glochidion","lanceisepalum","NR",3,134.666666666667,16.1333333333333,0.168255748738082
"Glochidion rubrum","PHYLLANTHACEAE","Glochidion","rubrum","NR",3,141.333333333333,13.3333333333333,0.168255748738082
"Glochidion unknown mixed","PHYLLANTHACEAE","Glochidion","unknown mixed","NR",1,114,17.5,0.0560852495793606
"Goniothalamus uvarioides","ANNONACEAE","Goniothalamus","uvarioides","NR",2,171,7.95,0.112170499158721
"Guioa pleuropteris","SAPINDACEAE","Guioa","pleuropteris","NR",1,299,23.9,0.0560852495793606
"Helicia excelsa","PROTEACEAE","Helicia","excelsa","NR",1,101,7.5,0.0560852495793606
"Hopea nervosa","DIPTEROCARPACEAE","Hopea","nervosa","NR",17,176.941176470588,17.0941176470588,0.953449242849131
"Hopea sangal","DIPTEROCARPACEAE","Hopea","sangal","NR",2,212,17.2,0.112170499158721
"Hopea unknown mixed","DIPTEROCARPACEAE","Hopea","unknown mixed","NR",1,590,37.7,0.0560852495793606
"Horsfieldia polyspherula","MYRISTICACEAE","Horsfieldia","polyspherula","NR",5,198.2,15.1,0.280426247896803
"Hubera rumphii","ANNONACEAE","Hubera","rumphii","NR",4,138.75,13.1,0.224340998317443
"Hydnocarpus anomala","ACHARIACEAE","Hydnocarpus","anomala","NR",2,149,16.75,0.112170499158721
"Hydnocarpus anomalus","ACHARIACEAE","Hydnocarpus","anomalus","NR",4,157,14.375,0.224340998317443
"Hydnocarpus borneensis","ACHARIACEAE","Hydnocarpus","borneensis","NR",1,102,6.8,0.0560852495793606
"Hydnocarpus unknown mixed","ACHARIACEAE","Hydnocarpus","unknown mixed","NR",1,128,11.7,0.0560852495793606
"Intsia palembanica","FABACEAE","Intsia","palembanica","NR",3,171,16.9333333333333,0.168255748738082
"Ixora blumei","RUBIACEAE","Ixora","blumei","NR",1,121,11,0.0560852495793606
"Kayea unknown mixed","CALOPHYLLACEAE","Kayea","unknown mixed","NR",1,177,18.9,0.0560852495793606
"Knema elmeri","MYRISTICACEAE","Knema","elmeri","NR",7,170,14.6,0.392596747055524
"Knema latericia","MYRISTICACEAE","Knema","latericia","NR",10,120.8,12.01,0.560852495793606
"Knema laurina","MYRISTICACEAE","Knema","laurina","NR",7,137.857142857143,13.4,0.392596747055524
"Knema pectinata","MYRISTICACEAE","Knema","pectinata","NR",3,118,9.76666666666667,0.168255748738082
"Koilodepas longifolium","EUPHORBIACEAE","Koilodepas","longifolium","NR",36,125,9.68611111111111,2.01906898485698
"Koompassia excelsa","FABACEAE","Koompassia","excelsa","NR",2,869.5,48.3,0.112170499158721
"Lansium domesticum","MELIACEAE","Lansium","domesticum","NR",3,123.666666666667,13.8333333333333,0.168255748738082
"Leea aculeata","LEEACEAE","Leea","aculeata","NR",3,109.333333333333,6.43333333333333,0.168255748738082
"Lepisanthes senegalensis","SAPINDACEAE","Lepisanthes","senegalensis","NR",2,188,14.35,0.112170499158721
"Lepisanthes unknown mixed","SAPINDACEAE","Lepisanthes","unknown mixed","NR",1,770,36.8,0.0560852495793606
"Lithocarpus ewyckii","FAGACEAE","Lithocarpus","ewyckii","NR",2,147.5,14.9,0.112170499158721
"Lithocarpus gracilis","FAGACEAE","Lithocarpus","gracilis","NR",15,260.6,18.8866666666667,0.841278743690409
"Lithocarpus leptogyne","FAGACEAE","Lithocarpus","leptogyne","NR",4,210,22.4,0.224340998317443
"Lithocarpus nieuwenhuisii","FAGACEAE","Lithocarpus","nieuwenhuisii","NR",7,206.428571428571,26.9428571428571,0.392596747055524
"Lithocarpus unknown mixed","FAGACEAE","Lithocarpus","unknown mixed","NR",8,263.375,18.675,0.448681996634885
"Litsea accedens","LAURACEAE","Litsea","accedens","NR",2,134.5,9.6,0.112170499158721
"Litsea angulata","LAURACEAE","Litsea","angulata","NR",7,188.428571428571,12.2142857142857,0.392596747055524
"Litsea caulocarpa","LAURACEAE","Litsea","caulocarpa","NR",4,122,10.275,0.224340998317443
"Litsea cordifolia","LAURACEAE","Litsea","cordifolia","NR",1,194,14.6,0.0560852495793606
"Litsea garciae","LAURACEAE","Litsea","garciae","NR",1,226,14.7,0.0560852495793606
"Litsea grandis","LAURACEAE","Litsea","grandis","NR",1,333,27.1,0.0560852495793606
"Litsea unknown mixed","LAURACEAE","Litsea","unknown mixed","NR",6,231.5,17.3833333333333,0.336511497476164
"Lophopetalum beccarianum","CELASTRACEAE","Lophopetalum","beccarianum","NR",2,155.5,15.5,0.112170499158721
"Lophopetalum javanicum","CELASTRACEAE","Lophopetalum","javanicum","NR",14,219.5,19.4,0.785193494111049
"Ludekia borneensis","RUBIACEAE","Ludekia","borneensis","NR",7,176,13.9571428571429,0.392596747055524
"Ludekia unknown mixed","RUBIACEAE","Ludekia","unknown mixed","NR",1,103,12,0.0560852495793606
"Maasia sumatrana","ANNONACEAE","Maasia","sumatrana","NR",10,171.2,17.27,0.560852495793606
"Macaranga gigantea","EUPHORBIACEAE","Macaranga","gigantea","NR",11,328,20.4727272727273,0.616937745372967
"Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca","NR",44,327.372093023256,25.0860465116279,2.46775098149187
"Macaranga pearsonii","EUPHORBIACEAE","Macaranga","pearsonii","NR",25,428.16,26.9,1.40213123948402
"Madhuca elmeri","SAPOTACEAE","Madhuca","elmeri","NR",1,103,11.4,0.0560852495793606
"Madhuca kingiana","SAPOTACEAE","Madhuca","kingiana","NR",2,147,14,0.112170499158721
"Madhuca korthalsii","SAPOTACEAE","Madhuca","korthalsii","NR",5,162.8,15.22,0.280426247896803
"Magnolia candolii","MAGNOLIACEAE","Magnolia","candolii","NR",2,200.5,19.1,0.112170499158721
"Magnolia gigantifolia","MAGNOLIACEAE","Magnolia","gigantifolia","NR",1,241,27.3,0.0560852495793606
"Mallotus korthalsii","EUPHORBIACEAE","Mallotus","korthalsii","NR",15,131.857142857143,13.8928571428571,0.841278743690409
"Mallotus penangensis","EUPHORBIACEAE","Mallotus","penangensis","NR",2,171,14,0.112170499158721
"Mallotus species 1","EUPHORBIACEAE","Mallotus","species 1","NR",20,179.5,11.85,1.12170499158721
"Mallotus stipularis","EUPHORBIACEAE","Mallotus","stipularis","NR",6,137.333333333333,14.0666666666667,0.336511497476164
"Mallotus wrayi","EUPHORBIACEAE","Mallotus","wrayi","NR",19,120.842105263158,10.6684210526316,1.06561974200785
"Mangifera foetida","ANACARDIACEAE","Mangifera","foetida","NR",4,350.75,26.225,0.224340998317443
"Mangifera unknown mixed","ANACARDIACEAE","Mangifera","unknown mixed","NR",1,220,18.3,0.0560852495793606
"Mastixia trichotoma","CORNACEAE","Mastixia","trichotoma","NR",1,120,10.7,0.0560852495793606
"Meiogyne virgata","ANNONACEAE","Meiogyne","virgata","NR",4,222.5,20.275,0.224340998317443
"Melanochyla beccariana","ANACARDIACEAE","Melanochyla","beccariana","NR",1,169,15.2,0.0560852495793606
"Melicope  lunu-ankenda","RUTACEAE","Melicope ","lunu-ankenda","NR",8,142.875,14.025,0.448681996634885
"Melicope  unknown mixed","RUTACEAE","Melicope ","unknown mixed","NR",3,171.666666666667,12.3333333333333,0.168255748738082
"Meliosma sumatrana","SABIACEAE","Meliosma","sumatrana","NR",3,109.666666666667,9.6,0.168255748738082
"Memecylon costatum","MEMECYLACEAE","Memecylon","costatum","NR",1,137,12.5,0.0560852495793606
"Memecylon paniculatum","MEMECYLACEAE","Memecylon","paniculatum","NR",1,118,20.9,0.0560852495793606
"Microcos crassifolia","MALVACEAE","Microcos","crassifolia","NR",6,215.5,17.9,0.336511497476164
"Microcos fibrocarpa","MALVACEAE","Microcos","fibrocarpa","NR",1,117,8.4,0.0560852495793606
"Microcos latistipulata","MALVACEAE","Microcos","latistipulata","NR",2,191.5,16.6,0.112170499158721
"Microcos ossea","MALVACEAE","Microcos","ossea","NR",5,166,14.88,0.280426247896803
"Monoon erianthoides","ANNONACEAE","Monoon","erianthoides","NR",1,129,19.1,0.0560852495793606
"Monoon grandiflorum","ANNONACEAE","Monoon","grandiflorum","NR",5,155.2,12.48,0.280426247896803
"Monoon hookerianum","ANNONACEAE","Monoon","hookerianum","NR",1,168,17.7,0.0560852495793606
"Nauclea sp1","RUBIACEAE","Nauclea","sp1","NR",5,235.8,15.76,0.280426247896803
"Nauclea subdita","RUBIACEAE","Nauclea","subdita","NR",1,377,37,0.0560852495793606
"Neesia synandra","MALVACEAE","Neesia","synandra","NR",5,151.2,12.62,0.280426247896803
"Neesia unknown mixed","MALVACEAE","Neesia","unknown mixed","NR",1,111,12.9,0.0560852495793606
"Neo-uvaria acuminatissima","ANNONACEAE","Neo-uvaria","acuminatissima","NR",1,107,10.5,0.0560852495793606
"Neonauclea  gigantea","RUBIACEAE","Neonauclea ","gigantea","NR",5,365.6,17.1,0.280426247896803
"Neoscortechinia kingii","EUPHORBIACEAE","Neoscortechinia","kingii","NR",8,184.375,16.4,0.448681996634885
"Nephelium cuspidatum","SAPINDACEAE","Nephelium","cuspidatum","NR",1,268,11.9,0.0560852495793606
"Nephelium maingayi","SAPINDACEAE","Nephelium","maingayi","NR",1,187,17.4,0.0560852495793606
"Nephelium ramboutan-ake","SAPINDACEAE","Nephelium","ramboutan-ake","NR",15,179.466666666667,15.42,0.841278743690409
"Nothaphoebe umbelliflora","LAURACEAE","Nothaphoebe","umbelliflora","NR",4,271.25,22.6,0.224340998317443
"Ochanostachys amentacea","OLACACEAE","Ochanostachys","amentacea","NR",5,275.2,18.34,0.280426247896803
"Octomeles sumatrana","TETRAMELACEAE","Octomeles","sumatrana","NR",4,581.5,32.9,0.224340998317443
"Ormosia bancana","FABACEAE","Ormosia","bancana","NR",1,107,12,0.0560852495793606
"Orophea corymbosa","ANNONACEAE","Orophea","corymbosa","NR",3,137.333333333333,14.8333333333333,0.168255748738082
"Orophea myriantha","ANNONACEAE","Orophea","myriantha","NR",3,160.333333333333,15.4333333333333,0.168255748738082
"Palaquium beccarianum","SAPOTACEAE","Palaquium","beccarianum","NR",4,310,20.225,0.224340998317443
"Palaquium dasyphyllum","SAPOTACEAE","Palaquium","dasyphyllum","NR",2,113,12.4,0.112170499158721
"Paranephelium macrophyllum","SAPINDACEAE","Paranephelium","macrophyllum","NR",3,134.333333333333,13.5666666666667,0.168255748738082
"Paranephelium xestophyllum","SAPINDACEAE","Paranephelium","xestophyllum","NR",20,160.6,13.58,1.12170499158721
"Parashorea malaanonan","DIPTEROCARPACEAE","Parashorea","malaanonan","NR",31,518.064516129032,28.9451612903226,1.73864273696018
"Parashorea tomentella","DIPTEROCARPACEAE","Parashorea","tomentella","NR",10,212.2,17.92,0.560852495793606
"Parinari unknown mixed","CHRYSOBALANACEAE","Parinari","unknown mixed","NR",1,459,20.8,0.0560852495793606
"Payena acuminata","SAPOTACEAE","Payena","acuminata","NR",1,282,19,0.0560852495793606
"Payena microphylla","SAPOTACEAE","Payena","microphylla","NR",2,389,28.2,0.112170499158721
"Payena unknown mixed","SAPOTACEAE","Payena","unknown mixed","NR",4,151.5,15.425,0.224340998317443
"Peltophorum racemosum","FABACEAE","Peltophorum","racemosum","NR",1,293,19.4,0.0560852495793606
"Pentace adenophora","MALVACEAE","Pentace","adenophora","NR",1,116,8.4,0.0560852495793606
"Pentace laxiflora","MALVACEAE","Pentace","laxiflora","NR",25,244,16.756,1.40213123948402
"Phaeanthus splendens","ANNONACEAE","Phaeanthus","splendens","NR",2,153.5,16.9,0.112170499158721
"Phaleria  capitata","THYMELAEACEAE","Phaleria ","capitata","NR",1,124,10.9,0.0560852495793606
"Planchonia brevistipitata","BARRINGTONIACEAE","Planchonia","brevistipitata","NR",1,107,10.1,0.0560852495793606
"Pleiocarpidia sandakanica","RUBIACEAE","Pleiocarpidia","sandakanica","NR",60,163.483333333333,9.15833333333333,3.36511497476164
"Polyalthia cauliflora","ANNONACEAE","Polyalthia","cauliflora","NR",1,130,14.3,0.0560852495793606
"Polyalthia obliqua","ANNONACEAE","Polyalthia","obliqua","NR",3,148.333333333333,14.6333333333333,0.168255748738082
"Pometia pinnata","SAPINDACEAE","Pometia","pinnata","NR",5,214.6,16.82,0.280426247896803
"Pseuduvaria reticulata","ANNONACEAE","Pseuduvaria","reticulata","NR",1,107,11.4,0.0560852495793606
"Psydrax dicoccus","RUBIACEAE","Psydrax","dicoccus","NR",1,118,10.2,0.0560852495793606
"Pternandra coerulescens","MELASTOMATACEAE","Pternandra","coerulescens","NR",13,127.692307692308,9.30769230769231,0.729108244531688
"Pterospermum javanicum","MALVACEAE","Pterospermum","javanicum","NR",99,236.111111111111,14.4252525252525,5.5524397083567
"Pterospermum unknown mixed","MALVACEAE","Pterospermum","unknown mixed","NR",4,155.75,4.375,0.224340998317443
"Pterygota alata","MALVACEAE","Pterygota","alata","NR",1,475,26.8,0.0560852495793606
"Ptychopyxis arborea","EUPHORBIACEAE","Ptychopyxis","arborea","NR",8,131.375,13.2,0.448681996634885
"Reinwardtiodendron humile","MELIACEAE","Reinwardtiodendron","humile","NR",5,174.8,17.02,0.280426247896803
